PubChem_ID,Structure_SMILES,QED,MolecularVolume,SurfaceArea,RadiusOfGyration,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,Predicted_pIC50
24958200,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,0.778873601,320.1637113,400.3000911,4.599983039,320.396,2.5914,2,4,3,4,1433,130,72.94,1.670030225,14.90236391,6.091591861,2.672125442,18.40709167
132056570,CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,0.539388957,427.2120584,524.3445715,5.637672947,427.512,3.0344,1,7,4,5,3317,174,79.18,1.35556782,20.14105331,8.392696728,4.172668361,18.39499059
204647,C[n+]1cccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(=O)Nc5ccc[n+](C)c5)cc4)c(N)c3)cc2)c1,0.13497079,601.2426553,696.4059457,8.975203069,601.667,3.927,5,5,8,5,9922,234,150.18,1.162889856,30.10938987,13.29949911,7.731041345,18.39193341
135565082,Cn1ncnc1C1c2n[nH]c(=O)c3cc(F)cc(c23)NC1c1ccc(F)cc1,0.558166945,380.1197155,401.2336437,3.890407984,380.358,2.6285,2,6,2,5,1756,160,88.49,1.822330137,16.54618717,5.945523163,2.393236686,18.38702342
83288403,NC(=O)Cn1c(=O)cc(CCN2CCN(c3nccc4sccc34)CC2)c2ccc(F)cc21,0.473284696,465.1634742,518.3360306,5.521418355,465.554,2.6003,1,7,6,5,3533,180,84.46,1.303080555,21.54073119,8.915150055,4.335018402,18.38249282
59376058,Cc1[nH]c2c(c1C(=O)NCCCN1CCOCC1)CCCC2=C1C(=O)Nc2ccc(F)cc21,0.480712292,452.222369,558.2189743,5.279669355,452.53,3.11352,3,4,5,5,3432,180,86.46,1.368691849,21.85372661,9.112388464,4.203930212,18.37786824
92045137,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,0.512518012,450.1804239,530.8242992,4.737489214,450.502,2.74298,1,6,4,5,3891,182,105.98,1.308091573,21.34171795,9.156669956,4.11229559,18.35974645
44233641,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(N6CCN(C)CC6)cc5)cc4)nc32)CC1,0.312827969,654.3390498,801.2825822,7.023219101,654.776,4.129,2,11,6,7,10501,260,133.22,1.063905689,31.63931939,14.03667222,6.848934397,18.35912554
5329620,CN1CCN(CC(=O)Nc2cccc3c2C(=O)c2c(-c4ccc(N(C)C)cc4)n[nH]c2-3)CC1,0.492228705,444.2273741,546.3905816,4.762601036,444.539,2.54,2,6,5,5,3407,182,84.57,1.393307899,21.36066596,8.457142747,3.918168571,18.35203043
11592600,CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(N(C)c4ccnc(Nc5ccc(CS(C)(=O)=O)cc5)n4)cc3)cc2)CC1,0.243327738,628.2580226,763.6745198,8.664717417,628.759,4.5643,3,9,9,5,10024,236,139.87,1.138897778,31.41593217,13.74255874,8.770897933,18.34297172
44405151,Cc1cc(O)cc(C)c1CC(N)C(=O)N1Cc2ccccc2CC1C(=O)NCCCCc1[nH]c(=O)c(CCCNC(=O)C2Cc3ccccc3CN2C(=O)C(N)Cc2c(C)cc(O)cc2C)nc1C,0.065471957,938.5054465,1211.536158,8.797851936,939.171,4.2579,7,10,17,7,30716,364,237.07,0.889906483,50.04800792,22.06452082,11.89262454,18.33377904
25116064,Cc1c(C=C2C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(CC(O)CN1CCOCC1)CCC2,0.583788399,468.2172836,562.8494721,5.593564431,468.529,2.03642,3,5,5,5,3661,186,97.9,1.377417779,22.7659943,9.324665502,4.382376289,18.33376067
44593666,Cc1cc(CC(NC(=O)N2CCC(N3Cc4cccc(F)c4NC3=O)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,0.362353259,644.3598655,792.6877574,5.927338538,644.796,4.62012,3,5,6,7,9132,258,116.91,1.008512769,31.41144733,13.50341154,6.651451237,18.32963497
46229995,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1,0.618895752,476.1182096,518.8328078,5.274546381,477.367,3.9746,1,4,4,5,3124,178,60.82,1.376653564,21.49333527,8.537997006,3.825226651,18.32894553
25117637,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccccn2)CC1,0.63577327,448.2023023,543.4294978,5.210491422,448.502,2.2153,2,6,4,5,3502,178,94.22,1.323527762,21.11443552,9.010664716,4.304200467,18.3064872
118348179,O=C1NCc2nc(-c3c(F)cccc3F)cc(Nc3ccc(C(=O)N4CCOCC4)cc3)c21,0.636020953,450.1503469,513.7439935,5.063159212,450.445,3.4862,2,5,4,5,3358,180,83.56,1.461502008,21.01978609,8.589562077,4.025663006,18.30383166
155142832,CCc1cc2c(cc1N1CCN(C(=O)CNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,0.252357445,711.2805319,817.7628895,8.210011621,711.779,3.63418,3,9,6,8,12927,304,175.78,0.968301004,33.83155854,12.438201,5.271670455,18.30124722
171277,CC1NC(=O)C2CC(O)CN2C(=O)C2CSc3[nH]c4ccccc4c3CC(NC1=O)C(=O)NC(CC(C)(C)O)C(=O)NC(C(C)C)C(=O)NC(C(O)C(=O)O)C(=O)N2,0.143292337,830.32689,933.6768578,4.546907154,830.918,-3.0173,11,12,5,5,11828,308,308.69,1.727072046,43.86432397,17.7110162,10.05835948,18.29783837
162366970,CC(C)c1ccn2ncnc(NC3CCC(N4CCN(C(=O)CCC(=O)N5CCC(CCN6CCN(c7ccc8c(c7)C(=O)N(C7CCC(=O)NC7=O)C8=O)CC6)CC5)CC4)CC3)c12,0.254534368,877.4962787,1098.488769,10.67272961,878.092,3.3523,2,13,12,9,28074,352,176.11,0.641414493,43.81321339,18.96792917,9.23399038,18.29422952
